,13631,13652,13695
Cardiobacterium,2.8098476,0.0,0.0
Castellaniella,1.4043628,0.0,0.0
Catabacter,-1.8866838,0.0,-0.25782925
Catenibacillus,-4.5188947,0.0,0.0
Catenibacterium,6.114082,5.2801094,3.0658245
Catonella,4.5076194,0.0,-0.9011323
Caulobacter,0.0,0.0,-2.9465485
Cavicella,3.9643593,0.0,0.0
Cedecea,0.0,-4.2726274,0.0
Cellulosilyticum,-1.2675378,-1.59164,0.0
Centipeda,-1.948022,-0.33852053,0.0
Cetobacterium,4.4793777,5.0656886,5.837023
CHKCI002,4.19179,0.26220384,2.4247746
Christensenella,-4.235123,-1.5076388,0.0
Christensenellaceae.R.7.group,1.2811247,0.76062566,0.86804175
Chryseobacterium,-1.5706732,0.0,-1.7471831
Citrobacter,-3.1694455,-3.4949613,0.0
Cloacibacillus,0.0,-2.3274841,-2.5861275
Cloacibacterium,-0.69346684,0.0,0.0
Clostridioides,-2.443998,0.0,2.9333675
Clostridium.sensu.stricto.1,-0.9163187,0.7584633,1.2087379
Clostridium.sensu.stricto.13,0.111013785,0.0,0.0
Clostridium.sensu.stricto.16,3.1496165,0.0,0.0
Clostridium.sensu.stricto.2,0.0,-4.2486005,-0.23222592
Clostridium.sensu.stricto.4,0.0,-2.5373106,1.3310516
CM1G08,0.0,-2.0772047,0.0
Colidextribacter,-0.7275772,-1.4104261,0.93042654
Collinsella,0.6188047,-1.06086,1.0322359
Comamonas,2.7634988,2.4305894,2.3453157
Companilactobacillus,0.0,-1.9076079,0.0
Coprobacillus,0.0,-3.1683218,-1.63859
Coprobacter,-0.73869044,-0.94644225,0.86459976
Coprococcus,-3.9398713,2.3962855,0.0
Coriobacteriaceae.UCG.002,1.2424123,-0.05939075,0.0
Coriobacteriaceae.UCG.003,0.0,0.12352621,1.7302969
Corynebacterium,0.41856447,0.0,-1.4106945
Cronobacter,0.0,-0.9990036,-2.597293
Cruoricaptor,0.0,0.0,-1.1653714
Cryptobacterium,0.0,-0.24763381,0.0
Cuneatibacter,-3.9940438,0.0,0.0
Cutibacterium,0.0,0.0,-4.370517
Dechlorobacter,0.2884873,0.0,0.0
Defluviitaleaceae.UCG.011,1.9422315,2.0545769,1.2530875
Delftia,2.875729,0.0,0.0
Denitromonas,1.4414206,0.0,0.0
Desulfomonile,1.0027957,0.0,0.0
Desulfovibrio,-0.32767665,-0.56361777,1.2642283
Dialister,0.717078,0.2136792,-0.49734783
Dielma,-0.4238834,1.3242356,1.0083183
Dorea,0.48599705,-0.45661992,1.0331303
DTU089,-1.3497386,-0.9782055,1.4394898
Dubosiella,0.030686744,0.0,0.0
Dysgonomonas,0.4300195,-2.7213104,0.0
Eggerthella,2.4990375,1.033095,5.8848944
Eikenella,1.0806831,0.0,0.0
Eisenbergiella,-4.003202,0.0,3.4729204
Elusimicrobium,0.0,0.0,-3.9758778
Enhydrobacter,5.540912,6.6039286,5.9272676
Enorma,0.24103409,-1.5433352,-0.67557406
Ensifer,1.1951724,0.0,0.0
Enterobacter,0.0,-2.9810238,-4.080739
Enterococcus,6.6698475,5.432836,6.83196
Enterorhabdus,-2.4507096,0.0,-1.5705031
Enteroscipio,-4.534213,0.0,0.0
Epulopiscium,-0.80480313,-2.0662313,0.0
Erysipelatoclostridium,-0.98072094,-1.443981,1.2137762
Erysipelotrichaceae.UCG.003,0.12701824,-1.3718941,1.3275473
Escherichia.Shigella,1.5664716,0.98506105,1.5051869
Eubacterium,3.582528,2.0372229,3.4302728
Extensimonas,0.9563517,0.0,0.0
Ezakiella,-2.799067,0.0,-2.265749
F0332,0.0,0.0,-0.18128446
Faecalibacterium,0.539123,-0.87145793,-0.6237047
Faecalibaculum,1.8195397,-3.3754346,0.0
Faecalicoccus,-3.9670277,0.0,-1.4952579
Faecalitalea,-1.9370688,-2.5344038,4.9717946
Family.XIII.AD3011.group,0.11034166,0.64350617,0.09564515
Family.XIII.UCG.001,0.23581412,0.7927025,2.2210896
Fastidiosipila,3.8929472,0.0,0.0
FD2005,0.0,-2.8184242,0.0
Fenollaria,-0.9188126,1.8370141,-0.49415842
Finegoldia,0.0,0.0,0.5396646
Flavonifractor,-0.691274,-1.5438694,1.5019786
Fournierella,2.5343125,2.2434297,-0.17189904
Frisingicoccus,-4.4286704,-3.9074473,0.0
Fructilactobacillus,2.1106753,1.930654,0.0
Fructobacillus,3.6072855,0.0,0.0
Fusicatenibacter,0.2912897,0.025716173,1.1326936
Fusobacterium,-0.3031369,-0.9617464,1.1702992
Gardnerella,0.0,-1.3110135,0.0
GCA.900066575,-2.3705306,1.5404385,6.0168056
GCA.900066755,0.02958749,2.9587216,4.0579567
Gemella,-0.81614095,2.818179,3.4296215
Geobacter,0.567472,0.0,0.0
Glutamicibacter,1.0933999,0.0,0.0
Gordonibacter,1.862216,0.5840581,5.325176
Granulicatella,-4.0572653,-0.5327687,0.0
Haemophilus,-0.093104385,-0.7401264,0.73992723
Hafnia.Obesumbacterium,-1.6998066,0.0,0.0
Halomonas,2.9789486,0.0,0.0
Halothiobacillus,0.98600537,0.0,0.0
Harryflintia,2.9752579,1.3203952,4.3921876
Helicobacter,1.0933999,0.0,0.0
Hespellia,-4.4965615,0.0,0.0
Holdemanella,0.28145567,-0.19360167,0.97406095
Holdemania,-0.72834986,-1.1314021,0.76174045
Howardella,7.7503633,5.4213295,2.725373
HT002,5.176523,4.573823,5.222457
Hungatella,-0.08258102,0.9785685,0.96502787
Ileibacterium,0.040742543,0.0,0.0
Incertae.Sedis,0.28837848,-0.38541314,1.0354594
Intestinibacter,-4.101429,0.0,0.0
Intestinimonas,1.8351303,0.85698825,1.9478168
Kitasatospora,2.3471944,0.0,0.0
Klebsiella,1.3204315,2.5219889,1.7103741
Kocuria,0.0,0.0,-0.5091645
Kosakonia,0.0,0.0,-0.24279584
Kurthia,2.2886665,0.0,0.0
Kytococcus,0.0,0.0,-0.20994921
Lachnobacterium,0.0,-4.302081,0.0
Lachnoclostridium,-1.021827,0.44418234,1.3177307
Lachnospira,0.62644976,-0.3190059,-0.10515494
Lachnospiraceae.AC2044.group,-4.2295327,0.0,0.0
Lachnospiraceae.FCS020.group,-4.1529155,0.0,1.7316499
Lachnospiraceae.FE2018.group,0.0,-1.8330371,0.0
Lachnospiraceae.NC2004.group,-4.377682,0.0,-1.5961621
Lachnospiraceae.ND3007.group,0.41074088,-0.03826217,1.0228972
Lachnospiraceae.NK3A20.group,0.0,0.0,-3.1663566
Lachnospiraceae.NK4A136.group,-0.9162519,0.7264971,0.7419274
Lachnospiraceae.NK4B4.group,0.0,0.0,-3.0428789
Lachnospiraceae.UCG.001,-4.1169996,0.0,0.0
Lachnospiraceae.UCG.003,2.0907552,0.62414825,1.0594516
Lachnospiraceae.UCG.004,-3.9691339,0.0,0.50536
Lachnospiraceae.UCG.006,0.6734571,0.0,0.0
Lachnospiraceae.UCG.009,-4.1165514,0.0,0.0
Lachnospiraceae.UCG.010,0.18671137,-0.5522004,1.439812
Lachnospiraceae.XPB1014.group,0.0,0.0,-1.8068492
Lacticaseibacillus,0.62235683,-1.9134568,0.0
Lacticigenium,2.0555992,0.0,0.0
Lactiplantibacillus,0.0,-1.942206,0.0
Lactobacillus,4.625315,3.6711955,5.349378
Lactococcus,2.054159,-0.32729512,3.876217
Lactonifactor,-3.4168246,0.46298486,0.0
Lautropia,0.11810927,2.8563073,3.5345876
Legionella,1.0212224,0.0,0.0
Lelliottia,0.0,-0.406628,0.0
Lentilactobacillus,1.0933999,0.0,0.0
Lentimicrobium,0.7490173,0.0,0.0
Leuconostoc,-0.79604685,0.0,-0.26391226
Levilactobacillus,2.7144806,0.18000607,0.0
Libanicoccus,0.0,0.0,-2.8223028
Ligilactobacillus,2.1329255,2.2728212,1.3236297
Limnobacter,1.1951724,0.0,0.0
Limnohabitans,1.487317,0.0,0.0
Limosilactobacillus,3.0110476,0.73174936,0.38583207
Longivirga,1.4043628,0.0,0.0
Lysobacter,1.2865951,0.0,0.0
Macellibacteroides,0.0,-3.7487864,-1.7582574
Mailhella,2.2803502,0.49712297,2.7289457
Marvinbryantia,-4.0781574,0.46224734,0.0
Massilia,3.5324268,0.0,0.0
Megamonas,-0.52243114,-0.4954603,0.8371051
Megasphaera,0.6046081,0.9326914,0.5633139
Merdibacter,2.6506245,1.266503,4.048842
Methanobrevibacter,-0.9309052,-2.339423,0.0
Micromonospora,0.0,0.0,-3.0608344
Mitsuokella,0.84653205,1.8029158,-0.67923933
Mogibacterium,-4.1992526,0.0,0.0
Monoglobus,0.44584686,-0.6022333,0.86829996
Morganella,-0.45296052,1.044078,0.0
Moryella,-0.9775934,0.0,0.0
Mucispirillum,0.8997605,0.0,0.0
Muribaculum,-4.95058,0.0,0.0
Murimonas,3.7840197,0.0,0.0
Negativibacillus,1.1491879,0.4941225,6.1759586
Negativicoccus,2.3602605,0.0,-0.6195498
Neisseria,-0.7838188,1.6684291,2.7761402
Neorhizobium,3.8218331,0.0,0.0
NK4A214.group,0.80140424,0.18516108,1.2528766
Nocardioides,2.8168883,0.0,0.0
Odoribacter,2.7008703,1.8189044,2.6197867
Oerskovia,0.0,0.0,-4.51067
Olsenella,0.0,0.22114122,-2.6564527
Oribacterium,1.369499,-0.0984352,0.0
Oscillibacter,-0.42644215,-0.060268704,0.6127107
Oscillospira,2.5038896,-0.7282318,1.8588353
Ottowia,-0.5799389,0.0,0.0
Oxalobacter,4.053653,3.3329287,3.6779377
Paeniclostridium,2.9288917,3.2923198,-0.99517214
Paludicola,1.6263847,0.81910026,1.7432616
Pandoraea,0.8794112,0.0,0.0
Papillibacter,0.36722684,0.81049824,0.0
Parabacteroides,0.4821511,-0.6322941,0.8498033
Paraclostridium,0.0,-3.0030885,0.0
Paracoccus,1.9528289,0.0,1.1125522
Paraeggerthella,3.6840644,0.0,0.0
Paraprevotella,1.9607662,1.9536,2.9249983
Parasutterella,0.15744564,-0.6492547,0.793166
Parvibacter,0.43446553,0.0,0.0
Parvimonas,-4.599351,0.0,-2.660567
Paucibacter,0.14470299,0.0,0.0
Pectobacterium,6.4015102,1.1156842,-1.3505082
Pediococcus,0.0,-0.94094664,0.0
Pelomonas,3.2112098,0.0,0.0
Peptoclostridium,0.2948124,0.0,0.0
Peptococcus,0.5850298,-0.25948644,1.2503408
Peptoniphilus,-1.0850472,0.0,-1.1473163
Peptostreptococcus,-2.1697311,0.0,-2.8864276
Petrimonas,0.8545083,0.0,0.0
Phascolarctobacterium,0.18831605,-0.7467832,0.85076845
Phocea,-1.1971235,-1.312069,2.0858753
Plesiomonas,-0.7231251,-0.13410234,0.0
Pluralibacter,2.165462,0.016377363,0.0
Porphyromonas,-3.7433424,0.0,-2.7624943
possible.genus.Sk018,-4.4716682,0.0,0.0
Prevotella,2.5428314,3.0033727,2.1231186
Prevotella_7,4.2717843,3.6727781,3.0931835
Prevotella_9,0.93165064,0.715072,-0.45914197
Prevotellaceae.Ga6A1.group,0.0,0.87678874,2.4970605
Prevotellaceae.NK3B31.group,-0.3010171,0.2488562,0.76182115
Prevotellaceae.UCG.001,-2.6887953,-2.7858002,0.0
Prevotellaceae.UCG.003,0.0,-4.2282968,0.0
probable.genus.10,0.0,0.0,-3.413848
Propioniciclava,0.0,0.0,-0.61104596
Proteus,-4.4938207,-0.6069269,0.0
Providencia,1.7268914,0.0,0.0
Pseudaminobacter,1.1195523,0.0,0.0
Pseudobutyrivibrio,0.0,-3.6292198,-4.129356
Pseudocitrobacter,2.8316834,-3.0015805,0.0
Pseudoduganella,0.0,0.0,-0.6689732
Pseudoflavonifractor,3.053166,2.2945075,3.6242697
Pseudomonas,-4.750645,0.0,-2.4455342
Psychrobacter,-3.0879204,-0.49031034,0.0
Pyramidobacter,-1.1788899,-0.61243176,2.1795428
Ralstonia,1.9490697,0.60680974,0.0
Raoultella,-2.5967073,1.4069474,0.81416005
Raoultibacter,-1.7605224,-1.330158,0.0
Rhizorhapis,-0.018131742,0.0,0.0
Rhodococcus,3.3582952,0.0,0.0
Rhodopseudomonas,1.4043628,0.0,0.0
Rikenella,3.0975587,0.64538336,0.0
Rikenellaceae.RC9.gut.group,5.3097463,5.5027113,-0.23125634
Robinsoniella,-1.7486439,0.0,0.0
Romboutsia,-4.0907774,0.0,0.0
Roseburia,1.3176528,0.89068305,1.3826483
Rothia,1.9643978,1.4999944,-0.10140708
Rubrobacter,1.2475314,0.0,0.0
Ruminiclostridium,-2.6438377,0.0,0.0
Ruminococcus,0.78574675,-0.2908227,0.10646199
S5.A14a,0.0,0.0,0.9291054
Salmonella,0.0,1.0102428,-3.4115777
Sanguibacteroides,6.286457,4.861467,4.8497276
Sarcina,3.466254,1.5171406,-0.7313618
Scardovia,0.0,0.0,-0.50542504
Schlegelella,-3.499845,0.0,0.0
Sedimentibacter,1.3121142,0.0,0.0
Selenomonas,0.9138002,-1.4450804,0.0
Sellimonas,-1.4088265,-1.4653512,1.4827682
Senegalimassilia,4.044119,2.715208,3.6962006
Shewanella,-4.9223223,0.0,0.0
Shuttleworthia,-2.9561448,0.0,0.8820184
Slackia,5.1521063,5.7043705,5.2068644
Solobacterium,3.8565032,3.8028033,1.2454304
SP3.e08,0.0,0.0,-0.3715045
Sphaerochaeta,1.3121142,0.0,0.0
Sphingobacterium,-4.460418,0.0,-0.9394085
Sphingomonas,3.3428702,0.0,1.11965
Sporobacter,-4.792162,0.0,-0.88731235
Sporosarcina,3.4428623,0.0,0.0
Staphylococcus,3.4238124,0.0,-4.3251276
Stenotrophomonas,0.7530127,0.0,0.0
Stomatobaculum,0.0,0.56130815,-2.7660809
Streptococcus,1.2701812,0.4252281,1.8702934
Subdoligranulum,0.49945924,-0.6930629,-0.43167868
Succinatimonas,4.5845,2.0312748,4.106349
Succiniclasticum,0.81466573,0.0,0.0
Succinivibrio,0.0,0.0,-4.4225755
Sutterella,1.2006482,0.19588129,1.7149277
Synergistes,0.0,-0.8529704,-1.1723924
Syntrophococcus,-4.120289,0.0,0.0
Taibaiella,1.4043628,0.0,0.0
Tepidicella,0.0,0.0,-3.8669288
Tepidimonas,0.0,0.0,-4.171553
Terrisporobacter,-4.1193604,-1.0779699,0.0
Thauera,2.5492032,0.0,0.0
Thermus,-0.13200274,0.0,0.0
Thiomonas,0.9431438,0.0,0.0
TM7a,3.9179351,0.0,0.45899644
TM7x,4.9412184,1.1054859,0.80944264
Trabulsiella,0.0,-2.7073333,-2.7443235
Treponema,0.0,0.0,-3.091915
Trichococcus,1.1104796,0.0,0.0
Truepera,1.1195523,0.0,0.0
Turicibacter,0.4782022,0.83003515,2.4197142
Tuzzerella,-2.4027715,-0.0715794,7.029187
Tyzzerella,-1.7595173,-1.3713806,3.5946653
UBA1819,-0.7817655,-1.4022961,0.7400641
UC5.1.2E3,-2.225318,0.0,0.0
UCG.002,0.5044087,-0.43090594,-0.37184393
UCG.003,0.85584253,0.12435344,0.4427912
UCG.004,6.2429657,2.8383539,-0.9628557
UCG.005,1.260641,0.44528505,0.8073884
UCG.007,-2.1102066,-0.25243318,0.0
UCG.008,5.207976,3.9088554,5.06661
UCG.009,1.1291643,1.4556617,2.7548563
Uruburuella,-2.0989661,0.0,0.0
Vagococcus,-2.2858741,0.0,0.0
Varibaculum,-3.1040058,0.0,0.0
Veillonella,1.068783,0.61286336,1.2352386
Victivallis,4.2748036,0.31265414,2.4567258
Vulcaniibacterium,3.2314937,0.0,0.0
Weissella,5.5533032,5.782797,4.184674
XBB1006,0.0,0.0,-0.91503483
